,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
289,289,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/10836264,Flanders,Flemish Brabant,Dilbeek,HOUSE,VILLA,599000.0,3.0,272.0,NOT_INSTALLED,0,1,1,0.0,0,0.0,919,4,0,GOOD
290,290,https://www.immoweb.be/en/classified/house/for-sale/schilde/2970/10836263,Flanders,Antwerp,Schilde,HOUSE,HOUSE,399000.0,5.0,160.0,NOT_INSTALLED,0,0,0,0.0,1,295.0,445,3,0,TO_RENOVATE
291,291,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/10836258,Flanders,Antwerp,Wilrijk,APARTMENT,APARTMENT,279000.0,4.0,145.0,NOT_INSTALLED,0,0,1,13.0,0,0.0,,3,0,AS_NEW
292,292,https://www.immoweb.be/en/classified/apartment/for-sale/fleron/4620/10836257,Wallonie,Liège,Fleron,APARTMENT,APARTMENT,199000.0,3.0,73.0,SEMI_EQUIPPED,0,0,1,0.0,0,0.0,-1,2,0,TO_BE_DONE_UP
293,293,https://www.immoweb.be/en/classified/apartment-block/for-sale/zaventem%20nossegem/1930/10836255,Flanders,Flemish Brabant,Zaventem Nossegem,HOUSE,APARTMENT_BLOCK,360000.0,2.0,165.0,INSTALLED,0,0,1,14.0,0,0.0,77,2,0,TO_BE_DONE_UP
294,294,https://www.immoweb.be/en/classified/penthouse/for-sale/mol/2400/10836254,Flanders,Antwerp,Mol,APARTMENT,PENTHOUSE,590000.0,2.0,119.0,USA_HYPER_EQUIPPED,1,0,1,80.0,0,0.0,,3,0,AS_NEW
295,295,https://www.immoweb.be/en/classified/exceptional-property/for-sale/waterloo/1410/10836253,Wallonie,Walloon Brabant,Waterloo,HOUSE,EXCEPTIONAL_PROPERTY,695000.0,4.0,350.0,HYPER_EQUIPPED,0,0,1,30.0,0,0.0,427,2,0,AS_NEW
296,296,https://www.immoweb.be/en/classified/loft/for-sale/waterloo/1410/10836252,Wallonie,Walloon Brabant,Waterloo,APARTMENT,LOFT,695000.0,4.0,350.0,HYPER_EQUIPPED,0,0,1,30.0,0,0.0,,2,0,AS_NEW
297,297,https://www.immoweb.be/en/classified/exceptional-property/for-sale/antwerpen%20wilrijk/2610/10836251,Flanders,Antwerp,Antwerpen Wilrijk,HOUSE,EXCEPTIONAL_PROPERTY,1975000.0,5.0,414.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,1593,4,0,GOOD
298,298,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10836250,Flanders,Antwerp,Antwerp,APARTMENT,APARTMENT,520000.0,2.0,84.0,HYPER_EQUIPPED,0,0,1,39.0,0,0.0,-1,2,0,AS_NEW
299,299,https://www.immoweb.be/en/classified/apartment/for-sale/welkenraedt/4840/10836249,Wallonie,Liège,Welkenraedt,APARTMENT,APARTMENT,320942.0,1.0,73.0,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,-1,1,0,AS_NEW
