,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
266,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/kontich/2550/10825327,Flanders,Antwerp,Kontich,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
267,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/seraing/4100/10833665,Wallonie,Liège,Seraing,HOUSE,MIXED_USE_BUILDING,299000.0,0.0,219.0,,,,True,,,,198,2,False,GOOD
268,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10833500,Brussels,Brussels,Schaerbeek,HOUSE,HOUSE,360000.0,4.0,135.0,INSTALLED,False,,,,,,45,3,False,GOOD
269,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/10834601,Wallonie,Walloon Brabant,Nivelles,HOUSE,HOUSE,420000.0,4.0,135.0,HYPER_EQUIPPED,False,1.0,True,30.0,True,90.0,239,3,,AS_NEW
270,https://www.immoweb.be/en/classified/apartment-block/for-sale/wavre/1300/10643366,Wallonie,Walloon Brabant,Wavre,HOUSE,APARTMENT_BLOCK,480000.0,3.0,265.0,0,,-1.0,True,,True,,190,2,,GOOD
271,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/10836363,Wallonie,Liège,Liège,HOUSE,HOUSE,410000.0,4.0,216.0,,False,,,,,,86,2,False,JUST_RENOVATED
272,https://www.immoweb.be/en/classified/apartment/for-sale/mol/2400/10836360,Flanders,Antwerp,Mol,APARTMENT,APARTMENT,325000.0,2.0,,0,,,True,15.0,,,UNKNOWN,,,GOOD
273,https://www.immoweb.be/en/classified/duplex/for-sale/molenbeek-saint-jean/1080/10836359,Brussels,Brussels,Molenbeek-Saint-Jean,APARTMENT,DUPLEX,395000.0,4.0,124.0,NOT_INSTALLED,False,,True,9.0,,,UNKNOWN,2,False,AS_NEW
274,https://www.immoweb.be/en/classified/villa/for-sale/wenduine/8420/10836357,Flanders,West Flanders,Wenduine,HOUSE,VILLA,395000.0,5.0,180.0,INSTALLED,False,1.0,True,,True,,794,4,,TO_RENOVATE
275,https://www.immoweb.be/en/classified/service-flat/for-sale/herzele/9550/10669764,Flanders,East Flanders,Herzele,APARTMENT,SERVICE_FLAT,195000.0,2.0,67.0,HYPER_EQUIPPED,,,True,,,,UNKNOWN,2,,AS_NEW
276,https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/10836356,Wallonie,Walloon Brabant,Jodoigne,HOUSE,HOUSE,373105.0,3.0,150.0,0,,,,,True,,941,4,,
277,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/10836353,Flanders,West Flanders,Izegem,HOUSE,HOUSE,670778.0,3.0,206.0,0,,,,,,,1147,4,,
278,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/10836352,Flanders,West Flanders,Izegem,HOUSE,HOUSE,872640.0,5.0,335.0,0,,,,,,,1947,4,,
279,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10836351,Flanders,West Flanders,Avelgem,HOUSE,HOUSE,490009.0,4.0,192.0,0,,,,,,,594,3,,
